time,band,flux,fluxerr,zp,zpsys,mag
24.300000000000004,desr,34517898790.016,185789.99473355061,50.0,ab,0.9719513534586142
24.4,desr,34288030116.05391,185170.4032886752,50.0,ab,0.9792058931226642
24.5,desr,34060198535.36936,184553.80189141413,50.0,ab,0.9864442932048121
24.6,desr,33833981321.49537,183940.2914160658,50.0,ab,0.9936794679624725
24.700000000000003,desr,33609849979.261433,183329.97393423333,50.0,ab,1.0008957960988951
24.800000000000004,desr,33387499802.44346,182722.95271736934,50.0,ab,1.0081024848481626
24.9,desr,33167406256.168953,182119.33223847928,50.0,ab,1.0152834551740106
25.0,desr,32949122242.077698,181518.7959930306,50.0,ab,1.0224526070789253
25.1,desr,32732441368.064034,180921.05007095847,50.0,ab,1.0296162344446458
25.200000000000003,desr,32517573150.02472,180326.2350264349,50.0,ab,1.036766916281561
25.300000000000004,desr,32304568359.014744,179734.4931353325,50.0,ab,1.0439023746417284
25.4,desr,32093083033.16511,179145.9683999587,50.0,ab,1.0510336316228752
25.5,desr,31884155331.90815,178560.80655229033,50.0,ab,1.0581249403950075
25.6,desr,31676467979.006035,177979.15505562542,50.0,ab,1.0652203547914425
25.700000000000003,desr,31471219215.545677,177401.16310456302,50.0,ab,1.072278310771253
25.800000000000004,desr,31267936361.12933,176826.98162322375,50.0,ab,1.0793141825548958
25.9,desr,31066245810.839596,176256.7632616175,50.0,ab,1.0863402953290446
26.0,desr,30867310522.659737,175690.66239006765,50.0,ab,1.0933152536681874
26.1,desr,30670168832.267918,175128.8350915965,50.0,ab,1.100271814295084
26.200000000000003,desr,30475239438.48583,174571.4391521751,50.0,ab,1.1071944148033204
26.300000000000004,desr,30282338603.295876,174018.63404874157,50.0,ab,1.1140887029292053
26.4,desr,30092659935.597424,173471.55797078443,50.0,ab,1.1209107875447906
26.5,desr,29905186005.821243,172930.89253954883,50.0,ab,1.1276959609878787
26.6,desr,29720260017.99998,172396.108171161,50.0,ab,1.1344307192947944
26.700000000000003,desr,29538160919.313084,171866.6680486819,50.0,ab,1.1411036006680213
26.800000000000004,desr,29358095175.156715,171342.02818496138,50.0,ab,1.1477425458159978
26.9,desr,29179984547.43653,170821.6374729358,50.0,ab,1.1543495870664806
27.0,desr,29003655242.2379,170304.93772226447,50.0,ab,1.1609303956035006
